"datetime_id","date_id","date","hour","volume_of_ISSR","num_of_ISSR","floor","ceiling","south_id","north_id","south","north","west_id","east_id","west","east"
2642,111,20200904,1,0.142857142857143,888,32500,17500,1,112,16.8651508146089,57.7124467302747,2,150,-137.922561748047,-61.4852890875331
2643,111,20200904,2,0.128539253539254,799,32500,17500,1,112,16.8651508146089,57.6790680911292,4,150,-136.926721923196,-61.7210613202274
2644,111,20200904,3,0.125482625482625,780,30000,17500,1,112,18.1580372475784,57.6444416553226,2,150,-137.76041583829,-59.4385563501179
2645,111,20200904,4,0.11470398970399,713,32500,17500,1,112,17.8019411633807,57.6444416553226,9,150,-134.721133225145,-58.8881482140245
2646,111,20200904,5,0.117117117117117,728,32500,17500,1,112,18.3014744311589,57.6444416553226,12,150,-129.468037697323,-58.606660365148
2647,111,20200904,6,0.109877734877735,683,30000,17500,1,112,18.3944999017034,56.9772304843341,1,150,-138.254937667774,-58.4643045537759
2648,111,20200904,7,0.0955598455598455,594,30000,17500,1,112,18.4475345027633,57.3225118489898,1,150,-138.092366807926,-58.0306440629986
2649,111,20200904,8,0.083011583011583,516,32500,17500,1,112,19.1051399569513,57.3225118489898,25,150,-126.825425992112,-59.3614228696257
2650,111,20200904,9,0.114864864864865,714,32500,17500,5,112,20.7471433305108,57.9972553706491,43,150,-116.421552148363,-57.883851423368
2651,111,20200904,10,0.132561132561133,824,32500,12500,1,112,18.2268031358181,57.7754605753515,16,150,-124.041348262615,-57.883851423368
2652,111,20200904,11,0.142213642213642,884,32500,17500,1,112,17.8019411633807,57.8050957654875,1,150,-139.426941181713,-58.320858100834
2653,111,20200904,12,0.125643500643501,781,32500,17500,1,112,17.7324442979575,57.7124467302747,1,150,-139.255777141969,-60.2692176539744
2654,111,20200904,13,0.136422136422136,848,32500,17500,1,112,17.7324442979575,57.9776028209053,1,150,-139.255777141969,-58.4643045537759
2655,111,20200904,14,0.153153153153153,952,37500,17500,1,112,17.3768282182501,57.4451374882638,1,133,-139.255777141969,-73.5852757836707
2656,111,20200904,15,0.158944658944659,988,37500,17500,1,112,17.3768282182501,57.3796288241453,1,147,-138.917237092034,-70.4192619807434
2657,111,20200904,16,0.102960102960103,640,35000,17500,1,112,17.4803536966483,57.5714454528743,12,150,-133.489543352035,-69.2982376633599
2658,111,20200904,17,0.106177606177606,660,37500,17500,1,112,17.4803536966483,57.6085674369185,1,150,-139.599386073434,-69.1542658966375
2659,111,20200904,18,0.109234234234234,679,37500,17500,1,112,17.4803536966483,57.6444416553226,1,150,-139.599386073434,-69.0816808637421
2660,111,20200904,19,0.0968468468468468,602,37500,17500,1,112,17.4803536966483,57.6790680911292,1,150,-139.599386073434,-68.9352959944048
2661,111,20200904,20,0.0944337194337194,587,35000,17500,1,112,18.6850388243719,57.6790680911292,3,150,-138.582727926834,-68.7872689600069
2662,111,20200904,21,0.117760617760618,732,35000,17500,1,112,17.4803536966483,57.6790680911292,8,150,-134.76882886483,-69.1676158419229
2663,111,20200904,22,0.128378378378378,798,35000,17500,1,112,19.4461257416528,57.6790680911292,2,146,-138.250443961117,-69.6397607294959
2664,111,20200904,23,0.137065637065637,852,35000,17500,1,112,19.4841676475749,57.6790680911292,3,140,-137.586936463393,-67.6128678595841
2665,112,20200905,0,0.133204633204633,828,35000,17500,1,112,19.6655329146903,57.4525931251762,1,142,-138.749834280303,-67.5016090849043
2666,112,20200905,1,0.11534749034749,717,35000,17500,2,112,20.0533140905631,57.6085674369185,1,143,-139.255777141969,-67.5016090849043
2667,112,20200905,2,0.0955598455598455,594,35000,17500,1,112,19.7672185870398,57.6085674369185,2,143,-138.920932440983,-68.1711653524192
2668,112,20200905,3,0.0928249678249678,577,35000,17500,1,112,19.7752641787803,57.6085674369185,13,132,-132.533116599255,-68.6784642196824
2669,112,20200905,4,0.0992599742599743,617,35000,17500,1,112,19.7752641787803,57.6085674369185,13,132,-133.273088527608,-69.01294605346
2670,112,20200905,5,0.0921814671814672,573,35000,17500,1,112,19.7752641787803,57.6085674369185,2,148,-137.281008744078,-63.468687282516
2671,112,20200905,6,0.0814028314028314,506,35000,17500,1,112,19.7752641787803,57.5714454528743,3,125,-136.947175491754,-71.61185068664
2672,112,20200905,7,0.0884813384813385,550,37500,17500,1,112,19.7822721147033,58.0768009230066,6,127,-135.310731573456,-71.0121638585548
2673,112,20200905,8,0.106821106821107,664,37500,17500,1,112,19.7882421895904,58.0768009230066,19,141,-129.855400421581,-70.4816824836786
2674,112,20200905,9,0.119208494208494,741,37500,17500,1,112,16.3894956093787,58.099884544133,1,142,-138.092366807926,-66.9589033212538
2675,112,20200905,10,0.13529601029601,841,37500,17500,1,112,19.4316582760153,58.0889666286379,1,138,-138.092366807926,-66.4171077421086
2676,112,20200905,11,0.174227799227799,1083,37500,17500,1,112,19.4034629132368,58.0889666286379,5,150,-137.560966565208,-66.5324981716625
2677,112,20200905,12,0.175032175032175,1088,37500,17500,1,112,19.2967046582105,58.0768009230066,7,150,-136.534180406082,-65.8086045703892
2678,112,20200905,13,0.173262548262548,1077,37500,17500,1,112,17.4803536966483,58.0487261219159,1,150,-139.085880276144,-65.0393858429526
2679,112,20200905,14,0.201737451737452,1254,35000,17500,1,112,17.8363365015541,57.661905241948,1,150,-139.599386073434,-64.6269873976138
2680,112,20200905,15,0.237129987129987,1474,35000,17500,1,112,17.8363365015541,57.8194408299067,1,150,-139.599386073434,-65.9243743822439
2681,112,20200905,16,0.143500643500643,892,37500,17500,1,112,19.2127608116822,57.8194408299067,10,150,-134.984758786146,-63.7401451788257
2682,112,20200905,17,0.146718146718147,912,37500,17500,1,112,19.1773975807802,58.0633874224254,12,150,-133.489543352035,-63.288754543955
2683,112,20200905,18,0.123391248391248,767,37500,17500,1,112,17.8725417871959,58.0768009230066,13,150,-132.10236934518,-63.7401451788257
2684,112,20200905,19,0.133848133848134,832,37500,17500,1,112,17.4803536966483,58.0633874224254,15,150,-130.677916106943,-63.7401451788257
2685,112,20200905,20,0.120495495495495,749,37500,17500,1,112,17.4803536966483,57.9230084233068,1,150,-138.583658711549,-63.7401451788257
2686,112,20200905,21,0.167631917631918,1042,37500,17500,1,112,16.3894956093787,57.7492874307721,1,148,-137.930972415891,-65.1039583201379
2687,112,20200905,22,0.132722007722008,825,37500,17500,1,111,16.7415854484259,57.7492874307721,1,147,-137.930972415891,-68.3390203099788
2688,112,20200905,23,0.115508365508366,718,37500,17500,1,112,18.943836314739,57.1136057161061,37,147,-117.716878890383,-68.589690437247
2689,113,20200906,0,0.10505148005148,653,37500,17500,1,109,18.6175058997109,57.1136057161061,37,150,-117.716878890383,-67.8630418472464
2690,113,20200906,1,0.111164736164736,691,37500,17500,1,112,18.2854424140673,57.1136057161061,3,150,-138.079273393986,-67.733685146494
2691,113,20200906,2,0.106821106821107,664,37500,17500,1,112,19.7908371749613,56.7920437974605,34,149,-122.226789432644,-68.0979766017819
2692,113,20200906,3,0.123230373230373,766,37500,17500,2,112,19.9425152494717,56.8365136811232,37,140,-120.592061532769,-69.4981378032761
2693,113,20200906,4,0.10537323037323,655,37500,17500,1,110,19.5100758541342,56.4548144805663,41,134,-118.210694436268,-69.4981378032761
2694,113,20200906,5,0.0953989703989704,593,37500,17500,3,105,20.5308181020177,55.7387093620613,12,137,-129.68580899692,-69.6232807227218
2695,113,20200906,6,0.0962033462033462,598,37500,17500,3,106,20.3662723891094,55.6832150966283,45,133,-115.686974564607,-67.733685146494
2696,113,20200906,7,0.102638352638353,638,37500,17500,1,109,18.8331409439597,55.9060136140265,32,134,-114.551064679654,-68.2622022055426
2697,113,20200906,8,0.116634491634492,725,35000,17500,1,107,17.6149803341479,55.1809874336522,31,148,-116.421552148363,-68.2622022055426
2698,113,20200906,9,0.18018018018018,1120,37500,12500,1,109,17.8096178663824,57.2028174971037,33,146,-115.440997300245,-67.315215147707
2699,113,20200906,10,0.20511583011583,1275,37500,17500,1,112,17.8096178663824,57.2196624411272,10,150,-134.984758786146,-65.1945553592603
2700,113,20200906,11,0.217503217503217,1352,37500,12500,1,112,17.8096178663824,57.2355717048287,14,150,-132.902062911614,-67.1426891725419
2701,113,20200906,12,0.243886743886744,1516,37500,12500,1,112,18.1435252030236,57.2399390787386,9,150,-135.502450945549,-66.1250429936066
2702,113,20200906,13,0.265604890604891,1651,37500,12500,1,112,18.1026351783138,56.9283499261306,9,148,-135.502450945549,-65.7295184199877
2703,113,20200906,14,0.277992277992278,1728,37500,17500,1,112,17.7457150146765,57.4934582716679,8,150,-136.018928374759,-66.2342722062249
2704,113,20200906,15,0.273326898326898,1699,37500,17500,1,112,17.7457150146765,57.4934582716679,14,150,-132.902062911614,-66.4406693092683
2705,113,20200906,16,0.211229086229086,1313,37500,17500,1,112,17.4803536966483,57.4104803149252,20,150,-129.743510674243,-65.3879620597786
2706,113,20200906,17,0.227960102960103,1417,37500,17500,1,111,17.4803536966483,56.1722357780063,21,150,-128.280637608105,-64.258038432269
2707,113,20200906,18,0.233912483912484,1454,37500,17500,1,108,17.8363365015541,56.0137112098747,31,150,-123.3933512446,-64.1558133148757
2708,113,20200906,19,0.221364221364221,1376,37500,17500,1,112,17.6149803341479,57.6085674369185,37,150,-119.023683420638,-63.8450905155621
2709,113,20200906,20,0.225707850707851,1403,37500,17500,1,112,17.4803536966483,57.5714454528743,41,150,-111.119920386627,-62.977700158338
2710,113,20200906,21,0.255148005148005,1586,35000,17500,1,111,17.7457150146765,56.204366119595,29,150,-123.007162325071,-62.5086193635249
2711,113,20200906,22,0.259330759330759,1612,35000,17500,1,109,17.6808351779744,55.0509703109903,26,150,-124.191807428195,-62.5086193635249
2712,113,20200906,23,0.259330759330759,1612,35000,17500,1,102,17.6808351779744,54.7841550910223,27,150,-123.479722710025,-64.1558133148757
2713,114,20200907,0,0.280888030888031,1746,35000,17500,1,111,17.7457150146765,55.1874063889222,26,150,-124.8609182267,-59.0786470780261
2714,114,20200907,1,0.282496782496783,1756,35000,17500,1,104,17.6808351779744,55.2826847460777,49,150,-111.240110054625,-64.3595997300516
2715,114,20200907,2,0.251126126126126,1561,35000,17500,1,105,17.6149803341479,55.6227346621067,42,149,-111.056009045115,-69.019983385686
2716,114,20200907,3,0.238256113256113,1481,35000,17500,1,106,17.6149803341479,56.0713682076357,46,150,-109.705637631358,-64.6603636344723
2717,114,20200907,4,0.203507078507079,1265,35000,17500,1,106,17.5481524930715,56.0713682076357,44,150,-110.408638710322,-65.6304038416077
2718,114,20200907,5,0.210263835263835,1307,40000,17500,1,110,17.5481524930715,56.699649895171,43,150,-115.475838665498,-64.8997402501376
2719,114,20200907,6,0.229086229086229,1424,40000,17500,1,112,17.4803536966483,58.1419958432687,30,150,-115.541880472414,-64.1558133148757
2720,114,20200907,7,0.214285714285714,1332,40000,12500,1,111,17.4803536966483,57.8425592726632,25,150,-123.828949977914,-64.1558133148757
2721,114,20200907,8,0.220720720720721,1372,35000,12500,1,111,17.4803536966483,57.505655294572,38,150,-117.64028362715,-64.5991336814841
